feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g_Akkermansia	BMI	BMI	-0.01123483779517	0.00184281511863206	2916	571	1.22748146459061e-09	1.60922820007829e-06
g_Klebsiella	Age	Age	0.00980107058317267	0.00172910477712512	2916	893	1.58428765702387e-08	8.76312947803211e-06
g_Ruminococcus	BMI	BMI	0.00759039053288518	0.00134884625684797	2916	1983	2.00529278673504e-08	8.76312947803211e-06
g_Bacteroides	BMI	BMI	-0.0173716210174925	0.00321436101458434	2916	2808	7.0316532787258e-08	2.30462436210238e-05
g_Enterobacter	Age	Age	0.000283541889065383	5.34111873746713e-05	2916	31	1.18784229853356e-07	2.6710223939544e-05
g_Sutterella	Education	Bachelor_degree_or_above	0.00503024365942439	0.000948498689847065	2916	355	1.22243587824e-07	2.6710223939544e-05
g_Parabacteroides	BMI	BMI	-0.00200306792964662	0.000383609070429758	2916	927	1.89900750565875e-07	3.55656977131231e-05
g_Citrobacter	Age	Age	0.000168782647801269	3.38094020098e-05	2916	7	6.32367067057057e-07	0.000103629153113975
g_Blautia	BMI	BMI	0.00328695985833399	0.000661935957347112	2916	884	7.24317120990843e-07	0.000105508860624333
g_Megasphaera	family_income_cat	>=10000	0.00990653888376142	0.00215865664155192	2916	280	4.63846552219891e-06	0.000608102829960277
g_Butyricimonas	BMI	BMI	-0.000353643213643994	8.19662309297568e-05	2916	77	1.65320570928056e-05	0.0019703206226062
g_Odoribacter	BMI	BMI	-0.000187309092690714	4.44462969961274e-05	2916	13	2.58238725203924e-05	0.00282125807285287
g_Bacteroides	family_income_cat	>=10000	0.0590295346484519	0.0141212556766555	2916	2808	2.99896441152573e-05	0.00302434026423864
g_Atopobium	Smoking_status	Current smokers	0.000337494733577085	8.28013782700175e-05	2916	6	4.70581964512406e-05	0.00411288636983843
g_Parabacteroides	Education	Bachelor_degree_or_above	0.00592128462537476	0.00144997933380342	2916	927	4.55244491688657e-05	0.00411288636983843
g_Ralstonia	Serum_Zn	Serum_Zn	-0.00421890806505145	0.00103893334622785	2916	1359	5.01998746388432e-05	0.00411325222822022
g_Bacteroides	Education	Bachelor_degree_or_above	0.0481942136950071	0.0121497571402815	2916	2808	7.46467574424196e-05	0.00543677216705623
g_Faecalibacterium	Age	Age	-0.00797959972557273	0.0020111176690938	2916	2475	7.43166048627878e-05	0.00543677216705623
g_Oscillospira	BMI	BMI	-0.000921071568171491	0.00023723581275412	2916	466	0.000105690555964758	0.00729264836156834
g_Odoribacter	family_income_cat	>=10000	0.000743445185233599	0.000195260433073677	2916	13	0.000143315988118062	0.00894701240108471
g_Ralstonia	BMI	BMI	0.00400096723630131	0.00104763165235101	2916	1359	0.000136771685598517	0.00894701240108471
g_Sediminibacterium	Serum_Zn	Serum_Zn	-0.00349353024847873	0.000923007675442131	2916	1078	0.00015686159842587	0.00934752525165068
g_Dorea	BMI	BMI	0.00084254887367749	0.000229059951062066	2916	327	0.000239075162425551	0.0136272842582564
g_Alistipes	Age	Age	0.000186205011025391	5.15023387979866e-05	2916	15	0.000304917937342843	0.0159898966342587
g_Ochrobactrum	act_sports_intense	Yes	0.000625073391535181	0.000172869583285621	2916	22	0.000304449868707476	0.0159898966342587
g_Devosia	act_sports_intense	Yes	0.000270319674899736	7.51536684530637e-05	2916	0	0.00032742628394039	0.0165098407017635
g_Parabacteroides	family_income_cat	>=10000	0.0060017896890972	0.00168526240171665	2916	927	0.000374912393805619	0.0182040795658951
g_Lactobacillus	Age	Age	0.00131892902002024	0.000371652966971261	2916	78	0.000393114388709218	0.0184061772713495
g_Bradyrhizobium	Serum_Zn	Serum_Zn	-0.000656707999351281	0.000187943839730965	2916	353	0.000482666642899185	0.0218198609945114
g_Dorea	Age	Age	-0.000866677107155281	0.000249039013532999	2916	327	0.000508657243829789	0.0222283215553618
g_Alistipes	BMI	BMI	-0.000162465432065947	4.73705827745161e-05	2916	15	0.000612768875023083	0.0251043748486019
g_Alistipes	Education	High_school	0.000459540557370224	0.000133857100777085	2916	15	0.000605169187183794	0.0251043748486019
g_Alistipes	Education	Bachelor_degree_or_above	0.000607606684451653	0.00017905302910675	2916	15	0.000699470073693441	0.02697074313565
g_Dorea	Education	Bachelor_degree_or_above	-0.00293950666483109	0.00086580902497934	2916	327	0.000695277847268169	0.02697074313565
g_Bifidobacterium	Gender	Female	0.00511084855670538	0.00152487934277705	2916	466	0.000813650276417289	0.0299246270396282
g_Sutterella	Education	High_school	0.00237464062130126	0.000709082026409603	2916	355	0.000821728888960042	0.0299246270396282
g_Bacteroides	family_income_cat	5000-10000	0.0350367230597292	0.0105381580952558	2916	2808	0.00089600593079581	0.0317476696019813
g_Butyricimonas	family_income_cat	>=10000	0.00117696287792999	0.000360092129838303	2916	77	0.00109381111064936	0.037736483317403
g_Prauseria	Energy_intake	Energy_intake	0.000157869082013928	4.9108390164664e-05	2916	15	0.00132013011183801	0.0443766814517855
g_Phascolarctobacterium	Education	Bachelor_degree_or_above	0.00918227092654537	0.00289581352901569	2916	1236	0.00153566827239676	0.0503315276278038
g_Pseudidiomarina	act_sports_intense	Yes	0.000229169496983654	7.24985797612008e-05	2916	0	0.00158841161323336	0.0507904298768032
g_Coprobacillus	BMI	BMI	-0.0003627389530647	0.000116489174069124	2916	45	0.00186418253513585	0.0581891262753119
g_Megamonas	act_sports_intense	Yes	0.00891045953106089	0.00291022745448971	2916	347	0.00222049858927638	0.0676993872218916
g_Ralstonia	Gender	Female	-0.00868030311166207	0.00284589628747054	2916	1359	0.00230827304325823	0.0687760445388988
g_Prauseria	act_sports_intense	Yes	0.000508493113296432	0.000167996881378289	2916	15	0.0024933264396119	0.0726389102740267
g_Fusobacterium	Gender	Female	-0.0071533636055182	0.00237159990633011	2916	469	0.00258137550263059	0.0735692018249717
g_Faecalibacterium	BMI	BMI	0.00556182697837847	0.00184977650018535	2916	2475	0.00266320217609119	0.074286341550118
g_Blautia	family_income_cat	>=10000	-0.00852678584302706	0.00290800157569701	2916	884	0.00339229384014364	0.0889459444885662
g_Holdemania	BMI	BMI	-0.000167690653003234	5.71870496687076e-05	2916	44	0.00339079066753791	0.0889459444885662
g_Sediminibacterium	Age	Age	-0.00296927717062904	0.00101191599761268	2916	1078	0.00336915434985183	0.0889459444885662
g_Actinomyces	Age	Age	-0.00022237822495712	7.77165600674987e-05	2916	45	0.00424798437880766	0.0913472041903388
g_Adlercreutzia	Marital_status	Other	-0.000194373922438298	6.74015198336429e-05	2916	2	0.00395780687923151	0.0913472041903388
g_Bradyrhizobium	Gender	Female	-0.00147327253010258	0.000514824822675399	2916	353	0.00424403089502283	0.0913472041903388
g_Fusobacterium	Energy_intake	Energy_intake	0.00280781305435856	0.000972799330406983	2916	469	0.00392656846771157	0.0913472041903388
g_Lachnospira	Age	Age	-0.000953191801226913	0.000329998388138797	2916	226	0.00389988902417767	0.0913472041903388
g_Odoribacter	Gender	Female	0.000349869643917819	0.000120738573838652	2916	13	0.00378677745635513	0.0913472041903388
g_Parabacteroides	family_income_cat	3000-5000	0.0037178431631356	0.00128321364283616	2916	927	0.00379225231129097	0.0913472041903388
g_Prevotella	Education	High_school	-0.0214995325133032	0.00751339120001129	2916	1387	0.00424672338032731	0.0913472041903388
g_Sutterella	Family_diabetes_history	Yes	0.00275691494069534	0.000963543412738263	2916	355	0.00425032757865039	0.0913472041903388
g_Veillonella	Age	Age	0.00231093125917158	0.000806445564475435	2916	364	0.00419252179581501	0.0913472041903388
g_WAL_1855D	family_income_cat	Declined to answer or unknown	-0.000994038938827619	0.000343386148312761	2916	49	0.00382221744492929	0.0913472041903388
g_Sutterella	BMI	BMI	0.000711317743649886	0.000250936473530046	2916	355	0.00461935284921561	0.0976769610535752
g_Adlercreutzia	Serum_Zn	Serum_Zn	5.43463081414318e-05	1.93656973641674e-05	2916	2	0.00504461346715825	0.0991424937658306
g_Butyricimonas	Education	Bachelor_degree_or_above	0.000872699893081735	0.000309818901791762	2916	77	0.00488323494024413	0.0991424937658306
g_Dialister	Education	Bachelor_degree_or_above	0.011650601247272	0.00413315381667914	2916	608	0.00485285021470747	0.0991424937658306
g_Pseudidiomarina	Serum_Zn	Serum_Zn	5.29114423287508e-05	1.8861262312413e-05	2916	0	0.00506058060466545	0.0991424937658306
g_Staphylococcus	Marital_status	Other	-0.000294728272376169	0.000105076162753949	2916	7	0.00506677885759775	0.0991424937658306
g_Roseburia	Gender	Female	0.00439117624566088	0.00158018794638455	2916	1155	0.00548960323132152	0.105836321121508
g_Prauseria	Serum_Zn	Serum_Zn	0.000119674778802066	4.37061423517568e-05	2916	15	0.00621603210790181	0.116466163440118
g_SMB53	Serum_Zn	Serum_Zn	0.000269790380198166	9.85344742193942e-05	2916	26	0.0062186357290681	0.116466163440118
g_SMB53	Education	High_school	0.000765742455742428	0.000280764255132812	2916	26	0.00642302197804589	0.117210464404481
g_Streptococcus	family_income_cat	>=10000	-0.0123096294045366	0.00451460898991162	2916	690	0.00643718797644747	0.117210464404481
g_Dialister	Gender	Female	0.00805945911744151	0.00297042834762004	2916	608	0.00670249350710653	0.120369438189269
g_Staphylococcus	family_income_cat	Declined to answer or unknown	-0.000224134892983142	8.35389575118113e-05	2916	7	0.00733801417527679	0.130001845726863
g_Halomonas	Serum_Zn	Serum_Zn	6.19598655611084e-05	2.33404206800895e-05	2916	0	0.00798331283053236	0.139548308277706
g_Roseburia	family_income_cat	3000-5000	-0.00515588952988338	0.00194584564966373	2916	1155	0.00810034125111001	0.139730886581648
g_Butyricimonas	Family_diabetes_history	Yes	-0.000809617826748499	0.000314733130534307	2916	77	0.0101491695229516	0.166900226881103
g_Prauseria	family_income_cat	5000-10000	-0.000371544126508589	0.000144488558725368	2916	15	0.0101770336843419	0.166900226881103
g_Sediminibacterium	family_income_cat	5000-10000	-0.00784566273746965	0.00305138000155086	2916	1078	0.0101846057593351	0.166900226881103
g_Ruminococcus	Energy_intake	Energy_intake	-0.00388212753266065	0.00150298534946885	2916	1983	0.0098447308052731	0.166900226881103
g_Phascolarctobacterium	Family_diabetes_history	Yes	0.00749478896049287	0.00294174581395711	2916	1236	0.0108937272528897	0.176316992944919
g_Phascolarctobacterium	Serum_Zn	Serum_Zn	0.00192366773533184	0.000759760520215899	2916	1236	0.0113958002539673	0.179998724493386
g_WAL_1855D	family_income_cat	5000-10000	-0.00103992279378835	0.000410253561324976	2916	49	0.0113024366178819	0.179998724493386
g_Clostridium	BMI	BMI	0.00108249818185368	0.000432422184217803	2916	657	0.0123574954683509	0.190596194811859
g_Parabacteroides	family_income_cat	5000-10000	0.00314969515822318	0.00125764748036109	2916	927	0.0123193025265825	0.190596194811859
g_Parabacteroides	family_income_cat	Declined to answer or unknown	0.00262693135251167	0.00105266295025372	2916	927	0.0126328516578021	0.192577540969519
g_Adlercreutzia	Dringking_status	Drinking within the past 30 days	-0.00012067518120983	4.91749448955267e-05	2916	2	0.0141862928935241	0.211394117087312
g_Fusobacterium	family_income_cat	3000-5000	0.00716638076034853	0.00292039144522896	2916	469	0.014189689018828	0.211394117087312
g_Desulfovibrio	Age	Age	0.000376742569482888	0.000154253441364192	2916	220	0.0146509582840222	0.21341562567059
g_Sediminibacterium	Gender	Female	-0.00618466214664075	0.00252834710367598	2916	1078	0.0144990568699636	0.21341562567059
g_Holdemania	Age	Age	-0.000151227041939793	6.21750173713195e-05	2916	44	0.0150643127290556	0.217025428437274
g_Desulfovibrio	BMI	BMI	-0.000343973390612897	0.000141878516256471	2916	220	0.0153936047028152	0.219358867015117
g_Blautia	family_income_cat	5000-10000	-0.0052315299894915	0.00217013139961829	2916	884	0.0159839729384089	0.225322457228539
g_Prevotella	family_income_cat	5000-10000	-0.0208235417833261	0.00871712698869972	2916	1387	0.0169668030679874	0.236632753426931
g_Prauseria	Marital_status	Other	-0.000361968879395802	0.000152117445872346	2916	15	0.0173988749656562	0.240104474526055
g_Bilophila	Serum_Zn	Serum_Zn	0.000180291158890203	7.61414458430454e-05	2916	34	0.0179573627745826	0.245230235390393
g_Butyricimonas	Age	Age	0.00021059994176654	8.91154878848007e-05	2916	77	0.0181823848299202	0.245743366103354
g_Prevotella	Smoking_status	Former smokers	-0.0289823256405355	0.0123047605637159	2916	1387	0.0185703646472989	0.248426000536824
