"Variable","Count","Percent","Levels","Point.Estimate","Lower","Upper","P value","P for interaction"
"Age_group",NA,NA,NA,NA,NA,NA,NA,"0.209"
"<65","2342","81.3","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.18","-0.36","-0.01","0.042",NA
"","","","Serum_Zn_Q4=Q3","-0.16","-0.34","0.02","0.073",NA
"","","","Serum_Zn_Q4=Q4","-0.18","-0.36","0","0.047",NA
"â‰¥65","538","18.7","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.21","-0.19","0.62","0.307",NA
"","","","Serum_Zn_Q4=Q3","-0.18","-0.58","0.21","0.363",NA
"","","","Serum_Zn_Q4=Q4","0.1","-0.3","0.5","0.615",NA
"Gender",NA,NA,NA,NA,NA,NA,NA,"0.357"
"Male","1282","44.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.13","-0.36","0.11","0.288",NA
"","","","Serum_Zn_Q4=Q3","-0.25","-0.48","-0.01","0.041",NA
"","","","Serum_Zn_Q4=Q4","-0.26","-0.49","-0.02","0.031",NA
"Female","1598","55.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.13","-0.36","0.09","0.232",NA
"","","","Serum_Zn_Q4=Q3","-0.1","-0.32","0.12","0.355",NA
"","","","Serum_Zn_Q4=Q4","-0.02","-0.24","0.2","0.85",NA
"Education",NA,NA,NA,NA,NA,NA,NA,"0.955"
"Junior_high_school_or_below","2114","73.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.12","-0.32","0.08","0.228",NA
"","","","Serum_Zn_Q4=Q3","-0.16","-0.36","0.04","0.115",NA
"","","","Serum_Zn_Q4=Q4","-0.14","-0.33","0.06","0.172",NA
"High_school","472","16.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.22","-0.6","0.16","0.261",NA
"","","","Serum_Zn_Q4=Q3","-0.31","-0.71","0.09","0.133",NA
"","","","Serum_Zn_Q4=Q4","-0.29","-0.7","0.12","0.163",NA
"Bachelor_degree_or_above","294","10.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.02","-0.3","0.33","0.923",NA
"","","","Serum_Zn_Q4=Q3","0.02","-0.3","0.34","0.912",NA
"","","","Serum_Zn_Q4=Q4","0.14","-0.21","0.49","0.439",NA
"Marital_status",NA,NA,NA,NA,NA,NA,NA,"0.786"
"Married","2617","90.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.14","-0.32","0.03","0.099",NA
"","","","Serum_Zn_Q4=Q3","-0.17","-0.34","0","0.049",NA
"","","","Serum_Zn_Q4=Q4","-0.15","-0.32","0.02","0.078",NA
"Other","263","9.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.05","-0.41","0.51","0.831",NA
"","","","Serum_Zn_Q4=Q3","-0.01","-0.47","0.45","0.957",NA
"","","","Serum_Zn_Q4=Q4","0.16","-0.33","0.66","0.522",NA
"family_income_cat",NA,NA,NA,NA,NA,NA,NA,"0.814"
"<3000","572","19.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.19","-0.59","0.2","0.334",NA
"","","","Serum_Zn_Q4=Q3","-0.33","-0.72","0.05","0.092",NA
"","","","Serum_Zn_Q4=Q4","-0.15","-0.52","0.22","0.434",NA
"3000-5000","456","15.8","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.15","-0.26","0.55","0.476",NA
"","","","Serum_Zn_Q4=Q3","0.15","-0.25","0.55","0.458",NA
"","","","Serum_Zn_Q4=Q4","0.05","-0.33","0.44","0.792",NA
"5000-10000","519","18","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.15","-0.21","0.5","0.415",NA
"","","","Serum_Zn_Q4=Q3","-0.17","-0.53","0.19","0.365",NA
"","","","Serum_Zn_Q4=Q4","-0.05","-0.41","0.31","0.789",NA
">=10000","232","8.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.31","-0.79","0.16","0.198",NA
"","","","Serum_Zn_Q4=Q3","-0.11","-0.61","0.39","0.666",NA
"","","","Serum_Zn_Q4=Q4","-0.33","-0.87","0.2","0.225",NA
"Declined to answer or unknown","1101","38.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.29","-0.56","-0.01","0.043",NA
"","","","Serum_Zn_Q4=Q3","-0.22","-0.5","0.05","0.114",NA
"","","","Serum_Zn_Q4=Q4","-0.25","-0.53","0.03","0.083",NA
"Smoking_status",NA,NA,NA,NA,NA,NA,NA,"0.54"
"Nonsmokers","2016","70","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.19","-0.38","0.01","0.058",NA
"","","","Serum_Zn_Q4=Q3","-0.17","-0.36","0.02","0.086",NA
"","","","Serum_Zn_Q4=Q4","-0.14","-0.33","0.06","0.163",NA
"Former smokers","175","6.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.39","-0.3","1.08","0.273",NA
"","","","Serum_Zn_Q4=Q3","-0.05","-0.67","0.57","0.885",NA
"","","","Serum_Zn_Q4=Q4","0.39","-0.21","0.99","0.208",NA
"Current smokers","689","23.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.07","-0.41","0.26","0.676",NA
"","","","Serum_Zn_Q4=Q3","-0.2","-0.54","0.14","0.251",NA
"","","","Serum_Zn_Q4=Q4","-0.29","-0.63","0.05","0.099",NA
"Dringking_status",NA,NA,NA,NA,NA,NA,NA,"0.858"
"Never drinking","1800","62.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.18","-0.4","0.04","0.109",NA
"","","","Serum_Zn_Q4=Q3","-0.15","-0.37","0.07","0.172",NA
"","","","Serum_Zn_Q4=Q4","-0.18","-0.39","0.04","0.115",NA
"Drinking more than 30 days ago","351","12.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.05","-0.28","0.37","0.775",NA
"","","","Serum_Zn_Q4=Q3","-0.01","-0.33","0.31","0.956",NA
"","","","Serum_Zn_Q4=Q4","0.08","-0.25","0.41","0.623",NA
"Drinking within the past 30 days","729","25.3","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.04","-0.34","0.26","0.793",NA
"","","","Serum_Zn_Q4=Q3","-0.23","-0.54","0.08","0.151",NA
"","","","Serum_Zn_Q4=Q4","-0.13","-0.43","0.18","0.418",NA
"act_sports_intense",NA,NA,NA,NA,NA,NA,NA,"0.878"
"No","2647","91.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.13","-0.3","0.04","0.135",NA
"","","","Serum_Zn_Q4=Q3","-0.18","-0.35","-0.01","0.039",NA
"","","","Serum_Zn_Q4=Q4","-0.14","-0.31","0.03","0.109",NA
"Yes","233","8.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.02","-0.44","0.49","0.921",NA
"","","","Serum_Zn_Q4=Q3","0.06","-0.4","0.53","0.793",NA
"","","","Serum_Zn_Q4=Q4","0","-0.47","0.47","0.997",NA
"Family_diabetes_history",NA,NA,NA,NA,NA,NA,NA,"0.632"
"No","2658","92.3","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.12","-0.29","0.05","0.172",NA
"","","","Serum_Zn_Q4=Q3","-0.17","-0.34","0","0.047",NA
"","","","Serum_Zn_Q4=Q4","-0.14","-0.31","0.03","0.102",NA
"Yes","222","7.7","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","-0.29","-0.85","0.27","0.315",NA
"","","","Serum_Zn_Q4=Q3","-0.08","-0.65","0.49","0.793",NA
"","","","Serum_Zn_Q4=Q4","-0.09","-0.68","0.5","0.772",NA
