"Variable","Count","Percent","Levels","OR","Lower","Upper","P value","P for interaction"
"Age_group",NA,NA,NA,NA,NA,NA,NA,"0.171"
"<65","2371","81.3","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.65","0.45","0.93","0.018",NA
"","","","Serum_Zn_Q4=Q3","0.88","0.63","1.24","0.465",NA
"","","","Serum_Zn_Q4=Q4","0.89","0.63","1.24","0.478",NA
"â‰¥65","545","18.7","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.03","0.56","1.88","0.929",NA
"","","","Serum_Zn_Q4=Q3","0.65","0.35","1.19","0.161",NA
"","","","Serum_Zn_Q4=Q4","0.76","0.41","1.4","0.381",NA
"Gender",NA,NA,NA,NA,NA,NA,NA,"0.351"
"Male","1298","44.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.83","0.53","1.28","0.388",NA
"","","","Serum_Zn_Q4=Q3","0.72","0.46","1.13","0.157",NA
"","","","Serum_Zn_Q4=Q4","0.83","0.54","1.27","0.384",NA
"Female","1618","55.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.61","0.39","0.95","0.027",NA
"","","","Serum_Zn_Q4=Q3","0.91","0.61","1.37","0.654",NA
"","","","Serum_Zn_Q4=Q4","0.89","0.59","1.35","0.595",NA
"Education",NA,NA,NA,NA,NA,NA,NA,"0.55"
"Junior_high_school_or_below","2141","73.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.73","0.52","1.04","0.079",NA
"","","","Serum_Zn_Q4=Q3","0.78","0.56","1.09","0.148",NA
"","","","Serum_Zn_Q4=Q4","0.89","0.64","1.23","0.465",NA
"High_school","480","16.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.67","0.31","1.44","0.303",NA
"","","","Serum_Zn_Q4=Q3","1.24","0.58","2.63","0.582",NA
"","","","Serum_Zn_Q4=Q4","0.56","0.24","1.34","0.194",NA
"Bachelor_degree_or_above","295","10.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.26","0.04","1.75","0.165",NA
"","","","Serum_Zn_Q4=Q3","0.4","0.07","2.18","0.288",NA
"","","","Serum_Zn_Q4=Q4","1.44","0.28","7.23","0.661",NA
"Marital_status",NA,NA,NA,NA,NA,NA,NA,"0.337"
"Married","2647","90.8","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.76","0.55","1.04","0.09",NA
"","","","Serum_Zn_Q4=Q3","0.84","0.62","1.15","0.278",NA
"","","","Serum_Zn_Q4=Q4","0.9","0.66","1.22","0.479",NA
"Other","269","9.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.21","0.06","0.78","0.02",NA
"","","","Serum_Zn_Q4=Q3","0.51","0.17","1.53","0.228",NA
"","","","Serum_Zn_Q4=Q4","0.31","0.08","1.11","0.071",NA
"family_income_cat",NA,NA,NA,NA,NA,NA,NA,"0.404"
"<3000","581","19.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.49","0.22","1.07","0.074",NA
"","","","Serum_Zn_Q4=Q3","0.51","0.24","1.06","0.072",NA
"","","","Serum_Zn_Q4=Q4","0.88","0.46","1.7","0.713",NA
"3000-5000","467","16","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.01","0.45","2.28","0.971",NA
"","","","Serum_Zn_Q4=Q3","1.32","0.61","2.85","0.48",NA
"","","","Serum_Zn_Q4=Q4","1.03","0.47","2.23","0.944",NA
"5000-10000","521","17.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.04","0.5","2.16","0.909",NA
"","","","Serum_Zn_Q4=Q3","0.78","0.36","1.71","0.537",NA
"","","","Serum_Zn_Q4=Q4","0.63","0.28","1.41","0.264",NA
">=10000","233","8","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.34","0.09","1.22","0.099",NA
"","","","Serum_Zn_Q4=Q3","0.8","0.26","2.51","0.706",NA
"","","","Serum_Zn_Q4=Q4","0.16","0.03","0.81","0.027",NA
"Declined to answer or unknown","1114","38.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.64","0.39","1.03","0.068",NA
"","","","Serum_Zn_Q4=Q3","0.79","0.5","1.25","0.308",NA
"","","","Serum_Zn_Q4=Q4","0.89","0.56","1.42","0.636",NA
"Smoking_status",NA,NA,NA,NA,NA,NA,NA,"0.56"
"Nonsmokers","2041","70","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.63","0.43","0.92","0.017",NA
"","","","Serum_Zn_Q4=Q3","0.82","0.57","1.17","0.279",NA
"","","","Serum_Zn_Q4=Q4","0.75","0.52","1.08","0.117",NA
"Former smokers","175","6","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","2.17","0.58","8.15","0.25",NA
"","","","Serum_Zn_Q4=Q3","0.69","0.19","2.56","0.577",NA
"","","","Serum_Zn_Q4=Q4","1.5","0.47","4.8","0.493",NA
"Current smokers","700","24","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.74","0.4","1.36","0.331",NA
"","","","Serum_Zn_Q4=Q3","0.85","0.46","1.56","0.604",NA
"","","","Serum_Zn_Q4=Q4","0.92","0.5","1.68","0.785",NA
"Dringking_status",NA,NA,NA,NA,NA,NA,NA,"0.621"
"Never drinking","1820","62.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.63","0.43","0.92","0.016",NA
"","","","Serum_Zn_Q4=Q3","0.86","0.6","1.22","0.393",NA
"","","","Serum_Zn_Q4=Q4","0.73","0.51","1.04","0.085",NA
"Drinking more than 30 days ago","353","12.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.59","0.2","1.8","0.358",NA
"","","","Serum_Zn_Q4=Q3","0.68","0.23","1.99","0.485",NA
"","","","Serum_Zn_Q4=Q4","1.24","0.46","3.36","0.675",NA
"Drinking within the past 30 days","743","25.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.04","0.54","2","0.915",NA
"","","","Serum_Zn_Q4=Q3","0.87","0.43","1.74","0.688",NA
"","","","Serum_Zn_Q4=Q4","1.1","0.57","2.13","0.775",NA
"act_sports_intense",NA,NA,NA,NA,NA,NA,NA,"0.312"
"No","2680","91.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.72","0.53","0.99","0.043",NA
"","","","Serum_Zn_Q4=Q3","0.8","0.59","1.08","0.144",NA
"","","","Serum_Zn_Q4=Q4","0.85","0.63","1.15","0.3",NA
"Yes","236","8.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.31","0.04","2.21","0.243",NA
"","","","Serum_Zn_Q4=Q3","2.28","0.45","11.64","0.323",NA
"","","","Serum_Zn_Q4=Q4","1.23","0.23","6.66","0.807",NA
"Family_diabetes_history",NA,NA,NA,NA,NA,NA,NA,"0.582"
"No","2690","92.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.74","0.53","1.02","0.069",NA
"","","","Serum_Zn_Q4=Q3","0.83","0.6","1.14","0.241",NA
"","","","Serum_Zn_Q4=Q4","0.88","0.64","1.2","0.422",NA
"Yes","226","7.8","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.45","0.16","1.29","0.136",NA
"","","","Serum_Zn_Q4=Q3","0.72","0.26","1.97","0.526",NA
"","","","Serum_Zn_Q4=Q4","0.46","0.15","1.35","0.157",NA
